Alpha,Train_Ratio,Opt_Ratio,Model,Accuracy Percentage,Manual Percentage
1,0.5,0.1,random_forest,1,1
0.9,0.5,0.2,svm_rbf,0.987004548,0.987004548
0.95,0.5,0.2,svm_rbf,0.987004548,0.987004548
0.99,0.5,0.2,svm_rbf,1,1
1,0.5,0.2,svm_rbf,1,1
0.9,0.5,0.2,logistic_regression,0.970110461,0.717348928
0.95,0.5,0.2,logistic_regression,0.987004548,0.841455491
0.99,0.5,0.2,logistic_regression,0.99740091,0.981156595
1,0.5,0.2,logistic_regression,1,0.999350227
0.9,0.5,0.2,decision_tree,0.970760234,0.752436647
0.95,0.5,0.2,decision_tree,1,1
0.99,0.5,0.2,decision_tree,1,1
1,0.5,0.2,decision_tree,1,1
0.9,0.5,0.2,random_forest,0.970110461,0.730344379
0.95,0.5,0.2,random_forest,0.985055231,0.869395712
0.99,0.5,0.2,random_forest,0.99740091,0.985705003
1,0.5,0.2,random_forest,1,1
0.9,0.5,0.3,svm_rbf,0.990903184,0.990903184
0.95,0.5,0.3,svm_rbf,0.990903184,0.990903184
0.99,0.5,0.3,svm_rbf,1,1
1,0.5,0.3,svm_rbf,1,1
0.9,0.5,0.3,logistic_regression,0.980506823,0.844054581
0.95,0.5,0.3,logistic_regression,0.990903184,0.895386615
0.99,0.5,0.3,logistic_regression,0.998050682,0.975308642
1,0.5,0.3,logistic_regression,1,0.99740091
0.9,0.5,0.3,decision_tree,1,1
0.95,0.5,0.3,decision_tree,1,1
0.99,0.5,0.3,decision_tree,1,1
1,0.5,0.3,decision_tree,1,1
0.9,0.5,0.3,random_forest,0.980506823,0.85380117
0.95,0.5,0.3,random_forest,0.990253411,0.928525016
0.99,0.5,0.3,random_forest,0.998050682,0.990903184
1,0.5,0.3,random_forest,1,1
0.9,0.5,0.4,svm_rbf,0.994801819,0.994801819
0.95,0.5,0.4,svm_rbf,1,1
0.99,0.5,0.4,svm_rbf,1,1
1,0.5,0.4,svm_rbf,1,1
0.9,0.5,0.4,logistic_regression,0.990253411,0.900584795
0.95,0.5,0.4,logistic_regression,0.995451592,0.940870695
0.99,0.5,0.4,logistic_regression,1,0.996751137
1,0.5,0.4,logistic_regression,1,0.996751137
0.9,0.5,0.4,decision_tree,0.990903184,0.917478882
0.95,0.5,0.4,decision_tree,1,1
0.99,0.5,0.4,decision_tree,1,1
1,0.5,0.4,decision_tree,1,1
0.9,0.5,0.4,random_forest,0.990253411,0.905782976
0.95,0.5,0.4,random_forest,0.995451592,0.960363873
0.99,0.5,0.4,random_forest,0.999350227,0.996751137
1,0.5,0.4,random_forest,1,1
